MARCA,SUB-CATEGORIA,CANAL ,SKU,CÓDIGO DE BARRAS,PRODUCTO,Ciudades,Unidades distribuidas , Tamaño ,2021 ENERO,2021 FEBRERO,2021 MARZO,2021 ABRIL,2021 MAYO,2021 JUNIO,2022 ENERO,2022 FEBRERO,2022 MARZO,2022 ABRIL,2022 MAYO,2022 JUNIO, Total 2021 , Total 2022 , Total general 
INFANTI,BIBERONES,Autoservicios,1275,7.50103E+12,BIB FOREST 20 OZ,Ciudad de Mexico,"10,000",0 OZ,0,0,0,54,169,0,0,0,0,0,66,0,223,66,289
INFANTI,BIBERONES,Autoservicios,1281,7.50103E+12,BIB TWIST 8OZ,Monterrey,"10,001", 8OZ,0,0,0,557,941,17,228,91,257,377,86,377,"1,514","1,416","2,930"
INFANTI,BIBERONES,Autoservicios,1301,7.50103E+12,BIB FOREST 8OZ,Guadalajara,"10,002", 8OZ,0,0,0,10,31,0,0,0,0,0,26,0,41,26,67
INFANTI,BIBERONES,Autoservicios,1302,7.50103E+12,BIB FOREST 4OZ,Guadalajara,"10,003", 4OZ,0,0,0,5,36,0,0,0,0,0,24,0,41,24,65
INFANTI,BIBERONES,Autoservicios,7200,7.50103E+12,BIB DREAMS 4OZ,Monterrey,"10,004", 4OZ,0,0,0,41,94,0,0,0,0,0,38,0,134,38,173
INFANTI,BIBERONES,Autoservicios,7216,7.50103E+12,BIBERON CA 9 OZ,Ciudad de Mexico,"10,005",9 OZ,0,0,0,0,0,0,0,0,0,2,39,12, -   ,53,53
INFANTI,BIBERONES,Autoservicios,1360,7.50103E+12,BIB DREAMS 8OZ,Ciudad de Mexico,"10,006", 8OZ,0,0,0,72,307,0,0,0,0,0,127,0,379,127,506
INFANTI,BIBERONES,Autoservicios,7230,7.50103E+12,BIB ACUARIO 8OZ,Ciudad de Mexico,"10,007", 8OZ,0,0,0,5,38,0,5,7,0,2,24,10,43,48,91
INFANTI,BIBERONES,Autoservicios,7217,7.50103E+12,BIBERON CA 5 OZ,Monterrey,"10,008",5 OZ,0,0,0,0,0,0,0,2,2,1,11,2, -   ,17,17
INFANTI,BIBERONES,Autoservicios,1257,7.50103E+12,BIBERON COLOR 240,Monterrey,"10,009",0,0,0,0,12,65,0,0,0,0,0,31,0,77,31,108
INFANTI,BIBERONES,Autoservicios,1258,7.50103E+12,BIBERON COLOR 120,Monterrey,"10,010",0,0,0,5,0,0,0,2,36,0,34,0,12,5,84,89
INFANTI,BIBERONES,Autoservicios,7275,7.50103E+12,BIB FOREST 5OZ,Guadalajara,"10,011", 5OZ,0,0,11,1,0,0,10,0,0,0,10,3,12,23,35
INFANTI,BIBERONES,Autoservicios,7276,7.50103E+12,BIB FOREST 9OZ,Ciudad de Mexico,"10,012", 9OZ,0,0,5,2,10,10,10,10,10,10,10,11,28,62,90
INFANTI,BIBERONES,Autoservicios,1137,7.50103E+12,BIBERON 2 OZ MILK,Ciudad de Mexico,"10,013",2 OZ ,17,14,0,17,13,8,7,5,39,4,8,16,68,78,146
INFANTI,BIBERONES,Autoservicios,1275,7.50103E+12,BIB FOREST 20 OZ,Monterrey,"10,014",0 OZ,107,73,125,79,160,125,108,67,131,102,228,32,668,668,"1,337"
INFANTI,BIBERONES,Autoservicios,1281,7.50103E+12,BIB TWIST 8OZ,Guadalajara,"10,015", 8OZ,113,72,175,29,65,72,31,19,38,31,122,22,526,264,790
INFANTI,BIBERONES,Autoservicios,1301,7.50103E+12,BIB FOREST 8OZ,Guadalajara,"10,016", 8OZ,22,24,24,12,22,46,29,19,29,34,84,26,149,221,370
INFANTI,BIBERONES,Autoservicios,1302,7.50103E+12,BIB FOREST 4OZ,Monterrey,"10,017", 4OZ,53,38,38,19,43,53,50,29,67,31,77,29,245,283,528
INFANTI,BIBERONES,Autoservicios,7200,7.50103E+12,BIB DREAMS 4OZ,Ciudad de Mexico,"10,018", 4OZ,120,77,96,84,158,178,91,53,130,62,271,24,713,631,"1,344"
INFANTI,BIBERONES,Autoservicios,7216,7.50103E+12,BIBERON CA 9 OZ,Ciudad de Mexico,"10,019",9 OZ,0,0,10,0,0,0,0,7,10,22,83,22,10,143,152
INFANTI,BIBERONES,Autoservicios,1360,7.50103E+12,BIB DREAMS 8OZ,Ciudad de Mexico,"10,020", 8OZ,178,132,312,146,394,286,247,175,271,209,598,65,"1,447","1,565","3,012"
INFANTI,BIBERONES,Autoservicios,7230,7.50103E+12,BIB ACUARIO 8OZ,Monterrey,"10,021", 8OZ,34,26,36,24,26,74,26,29,65,58,122,22,221,322,542
INFANTI,BIBERONES,Autoservicios,1106,7.50103E+12,BIBERON VIDRIO 120,Monterrey,"10,022",0,24,10,19,10,19,53,26,5,2,12,17,0,134,62,197
INFANTI,BIBERONES,Autoservicios,7217,7.50103E+12,BIBERON CA 5 OZ,Monterrey,"10,023",5 OZ,0,0,2,0,0,0,0,5,4,3,31,8,2,51,53
INFANTI,BIBERONES,Autoservicios,1257,7.50103E+12,BIBERON COLOR 240,Guadalajara,"10,024",0,46,36,24,19,70,84,60,29,62,91,137,46,278,425,703
INFANTI,BIBERONES,Autoservicios,1258,7.50103E+12,BIBERON COLOR 120,Ciudad de Mexico,"10,025",0,29,17,29,17,24,70,12,24,41,17,65,17,185,175,360
INFANTI,BIBERONES,Autoservicios,7275,7.50103E+12,BIB FOREST 5OZ,Ciudad de Mexico,"10,026", 5OZ,2,16,4,4,7,5,9,1,0,3,10,1,38,24,62
INFANTI,BIBERONES,Autoservicios,7276,7.50103E+12,BIB FOREST 9OZ,Monterrey,"10,027", 9OZ,13,4,4,8,14,10,9,7,16,7,23,5,53,67,120
INFANTI,BIBERONES,Autoservicios,1137,7.50103E+12,BIBERON 2 OZ MILK,Guadalajara,"10,028",2 OZ ,13,7,12,9,17,19,13,10,22,10,39,5,77,99,176
INFANTI,BIBERONES,Autoservicios,1170,7.50103E+12,BIBERON ADV 2OZ,Guadalajara,"10,029", 2OZ,8,8,2,9,6,7,8,6,10,5,18,5,40,53,93
INFANTI,BIBERONES,Autoservicios,1184,7.50103E+12,BIB ADV TRAN 2 P OZ,Monterrey,"10,030",P OZ,6,7,8,4,6,7,7,7,12,2,19,4,38,52,90
INFANTI,BIBERONES,Autoservicios,1275,7.50103E+12,BIB FOREST 20 OZ,Ciudad de Mexico,"10,031",0 OZ,0,0,0,185,692,0,0,0,0,0,350,0,877,350,"1,228"
INFANTI,BIBERONES,Autoservicios,1281,7.50103E+12,BIB TWIST 8OZ,Ciudad de Mexico,"10,032", 8OZ,0,0,0,"2,510",454,437,382,118,362,962,74,170,"3,401","2,069","5,470"
INFANTI,BIBERONES,Autoservicios,1301,7.50103E+12,BIB FOREST 8OZ,Ciudad de Mexico,"10,033", 8OZ,0,0,0,12,72,0,0,0,0,0,48,0,84,48,132
INFANTI,BIBERONES,Autoservicios,1302,7.50103E+12,BIB FOREST 4OZ,Monterrey,"10,034", 4OZ,0,0,0,29,206,0,0,0,0,0,77,0,235,77,312
INFANTI,BIBERONES,Autoservicios,7200,7.50103E+12,BIB DREAMS 4OZ,Monterrey,"10,035", 4OZ,0,0,0,149,809,0,0,0,0,0,338,0,958,338,"1,296"
INFANTI,BIBERONES,Autoservicios,7216,7.50103E+12,BIBERON CA 9 OZ,Monterrey,"10,036",9 OZ,0,0,3,0,0,0,0,0,1,10,105,20,3,136,139
INFANTI,BIBERONES,Autoservicios,1360,7.50103E+12,BIB DREAMS 8OZ,Guadalajara,"10,037", 8OZ,0,0,0,178,835,0,0,0,0,0,346,0,"1,013",346,"1,358"
INFANTI,BIBERONES,Autoservicios,7230,7.50103E+12,BIB ACUARIO 8OZ,Ciudad de Mexico,"10,038", 8OZ,0,0,0,10,218,0,5,17,0,14,74,34,228,144,372
INFANTI,BIBERONES,Autoservicios,1106,7.50103E+12,BIBERON VIDRIO 120,Ciudad de Mexico,"10,039",0,0,0,0,10,84,0,0,0,0,0,41,0,94,41,134
INFANTI,BIBERONES,Autoservicios,7217,7.50103E+12,BIBERON CA 5 OZ,Monterrey,"10,040",5 OZ,0,0,3,0,0,0,0,4,2,7,24,11,3,47,50
INFANTI,BIBERONES,Autoservicios,1257,7.50103E+12,BIBERON COLOR 240,Guadalajara,"10,041",0,0,0,0,22,118,0,0,2,0,0,43,0,139,46,185
INFANTI,BIBERONES,Autoservicios,1258,7.50103E+12,BIBERON COLOR 120,Guadalajara,"10,042",0,0,0,53,0,0,0,26,161,0,144,0,58,53,389,442
INFANTI,BIBERONES,Autoservicios,7275,7.50103E+12,BIB FOREST 5OZ,Monterrey,"10,043", 5OZ,0,0,0,10,31,0,0,0,0,0,26,0,41,26,67
INFANTI,BIBERONES,Autoservicios,7276,7.50103E+12,BIB FOREST 9OZ,Ciudad de Mexico,"10,044", 9OZ,0,0,0,5,36,0,0,0,0,0,24,0,41,24,65
INFANTI,BIBERONES,Autoservicios,1137,7.50103E+12,BIBERON 2 OZ MILK,Ciudad de Mexico,"10,045",2 OZ ,0,0,0,41,94,0,0,0,0,0,38,0,134,38,173
INFANTI,BIBERONES,Autoservicios,1184,7.50103E+12,BIB ADV TRAN 2 P OZ,Ciudad de Mexico,"10,046",P OZ,0,0,0,0,0,0,0,0,0,2,39,12, -   ,53,53
INFANTI,BIBERONES,Autoservicios,1275,7.50103E+12,BIB FOREST 20 OZ,Monterrey,"10,047",0 OZ,0,0,0,72,307,0,0,0,0,0,127,0,379,127,506
INFANTI,BIBERONES,Autoservicios,1281,7.50103E+12,BIB TWIST 8OZ,Monterrey,"10,048", 8OZ,0,0,0,5,38,0,5,7,0,2,24,10,43,48,91
INFANTI,BIBERONES,Autoservicios,1301,7.50103E+12,BIB FOREST 8OZ,Monterrey,"10,049", 8OZ,0,0,0,0,0,0,0,2,2,1,11,2, -   ,17,17
INFANTI,BIBERONES,Autoservicios,1302,7.50103E+12,BIB FOREST 4OZ,Guadalajara,"10,050", 4OZ,0,0,0,12,65,0,0,0,0,0,31,0,77,31,108
INFANTI,BIBERONES,Autoservicios,7200,7.50103E+12,BIB DREAMS 4OZ,Ciudad de Mexico,"10,051", 4OZ,0,0,5,0,0,0,2,36,0,34,0,12,5,84,89
INFANTI,BIBERONES,Autoservicios,7216,7.50103E+12,BIBERON CA 9 OZ,Ciudad de Mexico,"10,052",9 OZ,0,0,11,1,0,0,10,0,0,0,10,3,12,23,35
INFANTI,BIBERONES,Autoservicios,1360,7.50103E+12,BIB DREAMS 8OZ,Monterrey,"10,053", 8OZ,0,0,5,2,10,10,10,10,10,10,10,11,28,62,90
INFANTI,BIBERONES,Autoservicios,7230,7.50103E+12,BIB ACUARIO 8OZ,Guadalajara,"10,054", 8OZ,17,14,0,17,13,8,7,5,39,4,8,16,68,78,146
INFANTI,BIBERONES,Autoservicios,1106,7.50103E+12,BIBERON VIDRIO 120,Guadalajara,"10,055",0,107,73,125,79,160,125,108,67,131,102,228,32,668,668,"1,337"
